Název,Region,Primární zatřídění,Sekundární zatřídění,Terciální zatřídění,Popis,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon č. 1,Telefon č. 2,Mobil č. 1,Mobil č. 2,Mobil č. 3,Fax,Email č. 1,Email č. 2,Email č. 3,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Lukostřelba v Centru Walzel,Meziměstí / Broumovsko,Sport a relaxace / Ostatní letní sporty,,,"Lukostřelba je velice elegantní sport a nabízí Vám sportovní zážitek z technicky dobře provedeného výstřelu, vzrušující a uspokojivý pocit z přesného zásahu. Vhodné pro ženy i muže od 10 let (potřebná síla k natažení tětivy u luku). Pro děti máme připravený dětský luk.  
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Meziměstí,574252,Dlouhá,138,č.p.,,54981,www.walzel.cz/lukostrelba,,,420 702 208 519,,,,strelnice@walzel.cz,,,POINT(50.62525333 16.23894361),16.23894361,50.62525333,OLS29,29,1807710.9337,6555271.1779
Nordic Walking Live,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Centrum Nordic Walking Live je také místem setkání lidí, bez rozdílu pohlaví, věku i kondice. 
  Dozvíte se zde vše nejen o dynamicky se rozvíjející zdravotně-sportovní aktivitě zvané Nordic Walking, ale máte možnost se aktivně připojit k již velmi početné rodině lidí, kteří tento sport pravidelně provozují nejen ke zlepšení své kondice. 
  Naše centrum Vám dále představí velice efektivní způsob hubnutí a formování postavy za asistence odborníků na výživu a zdravý pohyb. 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Čelakovského,487,č.p.,,50002,,,,420 775 319 600,,,,jaruska@nwlive.cz,,,POINT(50.21252083 15.82332889),15.82332889,50.21252083,OLS30,30,1761444.9147,6483162.3773
Penzion Motobydlo,Hronov / Kladské pomezí,Ubytování a stravování / Penziony,Ubytování a stravování / Stravování,Sport a relaxace / Ostatní letní sporty,"Penzion Motobydlo je součástí sportovního areálu s 22 sportovními atrakcemi. Nabízí  ubytování zdarma v rámci pronájmu sportovišť. Je vybaven restaurací s krbem, barem s provozem nonstop, snídaňovým salonkem, prostorami pro školení, letní terasou nad splavem na říčce Olšavce, kde je možnost vlastního výlovu pstruhů. 
 Kapacita penzionu je 90 lůžek, většina pokojů je vybavena vlastním sociálním  zařízením. Ve všech prostorách objektu je přístupné WiFi zdarma. V baru je TV se satelitním příjmem. Parkování v areálu zdarma. 
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Hronov,574082,Velký Dřevíč,111,č.p.,,54934,"http://www.motokary-motobydlo.cz/ubytovani.html
",420 491 481 260,,420 602 312 722,420777622677,,420 491 481 260,motobydlo.som@iol.cz,,,POINT(50.49382389 16.18202694),16.18202694,50.49382389,OLS31,31,1801374.999,6532240.7629
Pepa Sport – půjčovna elektro koloběžek a kol,Pec pod Sněžkou / Krkonoše,Sport a relaxace / Ostatní letní sporty,Sport a relaxace / Ostatní letní sporty,,"                        
  
                      Půjčte si u nás e-koloběžku nebo e-kolo a vydejte se na nevšední jízdu po Krkonoších. Máte na výběr 8 doporučených tras, k vybrané trase pak dostanete leták s mapkou.    
     Koloběžku či kolo dostanete plně nabité, připravené ujet dle složitosti terénu až 60 km. Ovládají se snadno a jedou rychlostí až 25 km/h. K řízení nepotřebujete řidičský průkaz, platí pro ně stejná pravidla jako pro kola. Všechny stroje jsou perfektně seřízené a zkontrolované, takže šlapou jako hodinky.     
     Dobré vědět: Objemné pláště šířky 4” vás s kolem zavedou i na místa, kam byste s klasickým horalem nevyrazili. A v zimě Vás pláště s hroty podrží na sněhu i ledu.   
     Výroba, prodej a servis koloběžek Pepe Bike.   
   Prodej a servis koloběžek CROSCO včetně náhradních dílů.   
   Prodáváme také britské sportovní oblečení Dare2b a Regatta.   
     Více info o kolech a možnostech výletů naleznete na: www.pepasport.eu/pujcovna-elektro-fatbike   
     On line rezervace: https://rezervace.pepebike.eu/ 
  ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Pec pod Sněžkou,579581,Pec pod Sněžkou,300,č.p.,,54221,www.pepasport.eu,,,420 776 602 608,,,,info@pepasport.eu,,,POINT(50.68116000 15.40604028),15.40604028,50.68116,OLS32,32,1751261.7814,6567125.0438
Restaurace a bowling Olymp,Trutnov / Krkonoše,Ubytování a stravování / Stravování,Sport a relaxace / Ostatní letní sporty,,"Restaurace:Restaurace se nachází u hlavní silnice v Poříčí. Má mnoho parkovacích míst, MHD zastávka je 200 m od restaurace, lze využít levné taxi po Trutnově.     Každý den od 10:30 do 14:30 můžete využít rautové polední menu, kde si každý vybere. Cena se počítá dle váhy 26 Kč / 100g.  Součástí restaurace je vybavená školící místnost s projekčním plátnem. WIFI po celé restauraci je zdarma.  Bowling:V Olymplandu funguje profesionální bowling značky Qubica AMF, na kterém se hrají mezinárodní soutěže. Bowling mažou profesionální mazačkou Kustodian ION, která se také používá pro vrcholové soutěže.Dráhy mají automatické zábrany žlábků díky kterým může hrát celá rodina i dětmi na jedné dráze. Rodinnému prostředí také nahrává nekuřácké prostředí restaurace i bowlingu.  
 Ceník: 
 Po&ndash;Čt: 10:30&ndash;17:00  340 Kč, 17:00&ndash;01:00  400 Kč 
 Pá&ndash;So a svátky: 10:30&ndash;17:00   370 Kč, 17:00&ndash;01:00   450 Kč 
 Uvedené ceny jsou za hodinu hry pro maximálně 6 osob na jedné dráze, každá další osoba 50 Kč. 
   ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Náchodská,530,č.p.,,54103,www.upolymp.cz,,,420 731 621 702,,,,olympland@upgroup.cz,,,POINT(50.57074806 15.94270694),15.94270694,50.57074806,OLS33,33,1774734.0184,6545712.4094
Sport Pec s.r.o.,Pec pod Sněžkou / Krkonoše,Sport a relaxace / Ostatní letní sporty,Sport a relaxace / Ostatní zimní sporty,,"Letní aktivity:  Půjčovna a testovací centrum elektrokol Scott, cykloservis. 
  Pravidelné trailové výběhy, testovaní bot Salomon 
 Outdoorový obchod nabízející potřeby pro sportovaní v okolí. 
  
 Zimní aktivity:   Půjčovna a testovací centrum skialpinistického vybavení Scott. 
  Pořádáme vzdělávací školení, kurzy zaměřené na skialpinismus a lavinové nebezpečí. 
  Půjčovna Fatbike Scott. 
   Půjčovna a testovací centrum sjezdových lyží Volkl, půjčovna snowboardů, sněžnic a dalšího vybavení. 
  
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Pec pod Sněžkou,579581,,344,,,54221,www.sportpec.cz,,,420 602 638 000,,,,info@sportpec.cz,,,POINT(50.69591750 15.73882556),15.73882556,50.6959175,OLS34,34,1752038.047,6567680.2951
Sport World & Americana Bar,Dvůr Králové nad Labem / Podkrkonoší,Ubytování a stravování / Stravování,Sport a relaxace / Ostatní letní sporty,,"Bowling, disco, biliard, šipky, fotbálek, flipper, pizza, speciality na grilu, míchané nápoje, káva, fresh a další. 
 Na jídelním lístku restaurace najdete širokou nabídku italské pizzy, masových specialit připravovaných na grilu,  několik druhů burgerů, ale i těstoviny, různé druhy zeleninových jídel a salátů. 
 Prostory restaurace jsou vhodné pro pořádání různých soukromých akcí, rodinných oslav, večírků, turnajů a rautů. 
 Rozvoz jídel. 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,Vrchlického,735,č.p.,,54401,www.sportworld.cz,420 499 629 251,420499629252,420 602 405 828,,,,info@sportworld.cz,,,POINT(50.44464000 15.81609600),15.816096,50.44464,OLS35,35,1760639.7531,6523638.7349
Sportcentrum Olymp,Trutnov / Krkonoše,Sport a relaxace / Ostatní letní sporty,Sport a relaxace / Wellness a relaxace,,"Sortiment sportovních aktivit je rozsáhlý &ndash; najdete zde fitness, squash, ricochet, fotbal 2v2, badminton, dětský koutek, víceúčelovou halu (badminton, florbal, volejbal atd.) a zrcadlové sály na skupinové cvičení (BOSU, powerjoga, fitbox, powerbox, TRX, cvičení pro děti atd.) ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Náchodská,531,č.p.,,54101,www.olymptrutnov.cz,,,420 739 994 455,,,,sportcentrumolymp@icloud.com,,,POINT(50.57074806 15.94270694),15.94270694,50.57074806,OLS36,36,1774734.0184,6545712.4094
Sportcentrum Teplice nad Metují,Teplice nad Metují / Broumovsko,Sport a relaxace / Ostatní letní sporty,,,"Sportcentrum Teplice nad Metují nabízí krytou nafukovací halu s povrchem z umělé trávy o rozměrech 51 x 36 m. Plochu lze rozdělit na tři tenisové, nohejbalové, volejbalové nebo bedmintonové kurty nebo na ní lze hrát fotbal, florbal, házenou, aj.  
 V zázemí objektu jsou kromě šaten, sprch, toalet, také squashový kurt, fitness a místnost na stolní tenis. Fitness je hotelového typu vybavené rotopedem, veslovacím trenažerem, crossovým trenažerem a posilovacími stroji (dvě posilovací věže, lavice a další pomůcky). 
 V recepci je k dispozici i občerstvení. 
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Teplice nad Metují,574538,Za školou,286,č.p.,,54957,www.sportcentrum.teplicenadmetuji.cz,,,420 775 055 563,,,,sportcentrum@teplicenadmetuji.cz,,,POINT(50.59537556 16.16720194),16.16720194,50.59537556,OLS37,37,1799724.6875,6550030.0443
Sportovní a rekreační areál Bret,Žacléř / Krkonoše,Sport a relaxace / Wellness a relaxace,Sport a relaxace / Ostatní letní sporty,Bez bariér / Služby,"V prostorách wellness můžete využít vířivou vanu, masážní vanu, saunu nebo se jen tak natáhnout a nechat se opečovávat pod rukama odborných masérů. 
  Kromě toho na vás zde čeká příjemná posilovna s moderním vybavením, ve které rádi necháte poslední zbytky energie.Pro příznivce relaxace a wellness jsou připraveny balíčky spojující wellness služby, pronájem jednotlivých sportovišť pro různá soustředění, až po služby cyklopůjčovny. 
 Areál Bret nabízí také možnost pronájmu školicí místnosti, či restaurace. 
 V letní sezoně vám nabízí bohaté sportovní vyžití. K dispozici jsou tyto sportoviště: 
 fotbalové hřiště s umělou trávou třetí generace2 tenisové kurty s umělou trávou2 hřiště na beach volejbalCeník naleznete ZDE  ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Žacléř,579874,Prkenný Důl,56,č.p.,,54201,www.bretcz.cz,420 499 776 154,,420 773 690 990,420734314530,,,dolezal@bretcz.cz,,,POINT(50.64296806 15.90691806),15.90691806,50.64296806,OLS38,38,1770750.0185,6558380.2539
Sportovní centrum mládeže Bavlna,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Hlavní dominantou areálu je architektonicky zajímavá tribuna pro 335 diváků, v jejím sousedství slouží nadějným fotbalistům také nový internát s kapacitou 45 lůžek + 6 bytových jednotek, který barevně ladí s tribunou, dále tři hřiště s umělým povrchem, dětské hřiště, atletická dráha a hlavní travnatá plocha. V areálu je i 80 metrová tartanová dráha, která je určena k základům atletiky, pískové doskočiště a hřiště na pétanque. 
 
V areálu se nachází následující objekty:  
 
- tribuna se zázemím pro 335 sedících diváků- ubytovna pro mládež &ndash; 4 podlaží s kapacitou 45 lůžek + 6 bytových jednotek- fotbalové hřiště s přírodní trávou o rozměru 76 x 115 m- minihřiště s umělou trávou o rozměru 42 x 62 m- 2 víceúčelová hřiště s umělým povrchem o rozměru 22 x 44 m- běžecká dráha, 4 dráhy 80 m + doskočiště- hřiště na pétanque- dětské hřiště  
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Veverkova,1722,č.p.,2a,50002,http://www.fchk.cz/,420 495 515 532,,,,,420 495 511 485,fchk@fchk.cz,,,POINT(50.20525417 15.81509306),15.81509306,50.20525417,OLS39,39,1760528.1063,6481898.4196
Sportovní hala - Sportovní areál Jičín ,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"K dispozici je zde sportovní hala, tělocvična, judo sál s tatami, zrcadlový sál pro areobik, herna stolního tenisu, posilovna a solárium. Dále samozřejmě i zázemí (šatny, sprchy, vestibul), pro klidné sledování sportu v hale je k dispozici V.I.P. salonek, případně posezení při občerstvení. 
 
Více informací o jednotlivých tělocvičnách, obsazení a ceně zde:HalaTělocvičnaTělocvična JudoStolní tenisOstatní prostory 
 
Dále je zde v areálu sál pro aerobic, step aerobic, bodystyling, cvičení pro těhotné,  posilovna, solária..... 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Revoluční,863,č.p.,,50601,www.sport-jicin.cz/vnitrni,420 493 533 462,420493531860,,,,420 493 533 462,posta@sport-jicin.cz,,,POINT(50.44066694 15.36333028),15.36333028,50.44066694,OLS40,40,1710238.1037,6522944.256
Sportovní hala Třebeš,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Sportovní hala Třebeš umožňuje tyto sporty: aerobic, basketbal (centrální hřiště, 2 x tréninkové hřiště), bojové sporty, cvičení na hudbu, florbal, futsal, házenou, judo, moderní gymnastiku, nohejbal (3 hřiště), sálový fotbal, stolní tenis, školní hry, volejbal (centrální kurt, 3 x tréninkový kurt), základní tělovýchovu 
 
V hale je k dispozici 396 míst k sezení, cca 150 míst na stání, rozměry haly jsou 46 x 23 m. 
 
Tréninková hala o rozměrech 33 x 15 m má vlastní ozvučení, gymnastický koberec a stěnu zrcadel 
 
Mezi další vybavení haly patří:  
 
- šatny pro sportující 8 x 18 skříněk- šatny pro rozhodčí: 2 x 6 skříněk- dětský koutek- press centrum / klubovna s připojením na internet- bufet/občerstvení - 30 míst (otevřen vždy na sportovní akce), kontakt na provozovatele: 736606245 - možnost domluvit stravování pro sportující a účastníky akcí- nápojový automat na teplé nápoje- fitness pro 8 osobWIFI připojení k internetu 
 
Základní sportovní vybavení na požádání k zápůjčce. Otevřeno od 7,00 &ndash; 22,00 hod. v týdnu, víkendy dle objednávek. 
 
Fitness je určeno maximálně 8 sportovcům na základě objednávek a je k dispozici po celou dobu otevírací doby sportovní haly. V místnosti fitness se nachází uzamykatelné skříňky pro osobní věci či převléknutí, klíče jsou k vyzvednutí na recepci, sprchování je možno po dohodě se správcem v momentálně volné šatně 1-6. 
 
Vybavení - protisměrné kladky, rotoped s opěrkou 2 x, posilovací věž, spinningové kolo 4 x, posilovací lavice 4 x, veslovací trenažér, multifunkční lavice, rehabilitační trenažér, stepper, posilovač nohou, sady závaží k tyčím i ručním činkám. 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Školská,148,č.p.,8,50011,https://www.tshk.cz/cs/o-spolecnosti/cinnosti-organizace/sportovni-hala-trebes,420 495 260 340,,420 733 677 735,,,420 495 402 655,"info@tshk.cz
lesak@tshk.cz",,,POINT(50.18995306 15.83813000),15.83813,50.18995306,OLS41,41,1763092.5667,6479237.5846
Squash - hotel Paříž,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"Kromě hotelových hostů je přístupný také široké veřejnosti a otevřeno je po celý den. 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Žižkovo náměstí,3,č.p.,,50601,www.hotel-pariz-jicin.cz,420 493 532 750,,420 720 997 605,,,,info@hotel-pariz-jicin.cz,,,POINT(50.43646389 15.35463806),15.35463806,50.43646389,OLS42,42,1709270.4902,6522209.6391
Squash - penzion Hartaclub,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Cena: 150 Kč / hodina 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Jana Opletala,154,č.p.,,54303,www.hartaclub.cz,,,420 777 928 794,,,,hartaclub@seznam.cz,,,POINT(50.59319806 15.61827194),15.61827194,50.59319806,OLS43,43,1738618.0794,6549648.1992
Squash - Victory club,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Ceník: 
 9:00&ndash;13:00   170 Kč 
 13:00&ndash;17:00   210 Kč 
 17:00&ndash;23:00   240 Kč 
 Půjčovna:  
 squashová raketa   20 Kč 
 squashový míček   20 Kč 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,V. Hálka,1154,č.p.,,54301,www.victoryclub.cz,420 499 423 910,420499423929,420 736 772 487,,,,m.kovarna@tiscali.cz,,,POINT(50.62447889 15.61145694),15.61145694,50.62447889,OLS44,44,1737859.4371,6555135.2843
"Squash centrum, Hradec Králové",Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,," 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Hradecká,1770,č.p.,14a,50012,http://www.squashhk.cz/,420 495 271 525,,420 604 777 722,,,,info@squashhk.cz,,,POINT(50.19599389 15.83482389),15.83482389,50.19599389,OLS45,45,1762724.5322,6480287.972
Squash v areálu Koupaliště Flošna,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Ceny se liší v hlavní sezóně, která je od září do května a v sezóně vedlejší – červen až srpen. Nejméně zaplatíte za kurty v dopoledních hodinách. Na recepci je možné zapůjčit si rovněž rakety, boty i míčky.  
 Rezervace kurtů on-line: www.snhk.cz/squash/, příp. telefonicky na č. 495 000 709 - recepce Wellness studia Flošna. 
 • slevy pro majitelé čipových hodinek (červených i modrých) 
 • 20% sleva do wellness po hodině squshe 
 • otevřeno každý den 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Malšovická,779,č.p.,,50009,www.snhk.cz/squash,420 495 000 709,420495000707,,,,,squash@snhk.cz,,,POINT(50.20520861 15.84226278),15.84226278,50.20520861,OLS46,46,1763552.6257,6481890.4956
Tenis – Hotel Pod Zvičinou,Dolní Brusnice / Podkrkonoší,Sport a relaxace / Ostatní letní sporty,,,"Je zde k dispozici multifunkční sportovní hřiště pro kolektivní sporty, přírodní koupaliště s vyhřívaným brouzdalištěm, dřevěné koupelové sudy HOT TUB, půjčovna sportovních potřeb, herní prvky pro děti (skluzavky, houpačky, pískoviště, prolézačky), minifarma s domácími zvířátky, která mohou děti rozmazlovat. 
 Ceník naleznete ZDE 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dolní Brusnice,554863,Dolní Brusnice,96,č.p.,,54472,www.hotelpodzvicinou.cz/relaxace-sport,420 499 396 381,,,,,,info@hotelpodzvicinou.cz,,,POINT(50.45024889 15.71540306),15.71540306,50.45024889,OLS47,47,1749430.6663,6524619.2512
Tenis - Sportovní areál Jičín,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,Kromě sedmi antukových kurtů a jednoho asfaltového je zde k dispozici i cvičná stěna.,Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Revoluční,863,č.p.,,50601,www.sport-jicin.cz,420 493 533 462,420493531860,,,,420 493 533 462,posta@sport-jicin.cz,,,POINT(50.44066694 15.36333028),15.36333028,50.44066694,OLS48,48,1710238.1037,6522944.256
Tenis centrum Nová Paka,Nová Paka / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"TENIS CENTRUM Nová Paka pro širokou veřejnost nabízí:- pronájem antukových dvorců (80 Kč/1 hod) a cvičné stěny- trenérská činnost pro děti i dospělé- sparring- tenisová školička a celoroční kurzy- tenisové soustředění a tábory - rekreační a výkonnostní tenis dětí a dospělých- firemní liga nejen pro firmy- pořádání firemních akcí a turnajů- vyplétání tenisových raket- možnost zapůjčení tenisového vybavení. 
 
Rezervaci dvorců je možné provádět On-line, telefonicky ( +420 774 330 238 ) nebo osobně ve sportovním areálu. 
 
Dvorce jsou každý den pravidelně a pečlivě udržovány tak, aby měli všichni hráči možnost zahrát si na kvalitním povrchu. 
 
Jestliže se chcete stále zdokonalovat ve svých tenisových dovednostech anebo jste naopak tenisoví začátečníci či nemáte stálé spoluhráče využijte nabídky  -  hry s trenéry. Je zde k  dispozici 5 trenérů (II. třídy a III. třídy). Jejich odborné znalosti a péče určitě přispějí k Vašemu výkonnostnímu vzestupu. 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Nová Paka,5210,Nová Paka,573248,Havlova,,,,50901,www.tenisnp.cz,,,420 605 830 770,420774330238,420604774110,,teniscentrum@atlas.cz,,,POINT(50.49307667 15.50830861),15.50830861,50.49307667,OLS49,49,1726377.0175,6532110.0107
Tenisové kurty - hotel Aurum,Černý Důl / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,,Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Černý Důl,579114,,,,,54344,www.hotel-aurum.cz,420 499 435 169,,420 731 502 616,420605111221,,,rezervace@hotel-aurum.cz,zdenek.kunes@hotel-aurum.cz,,POINT(50.63421917 15.71213444),15.71213444,50.63421917,OLS50,50,1749066.8051,6556844.6077
Tenisový areál Trutnov,Trutnov / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Provoz venkovních tenisových kurtů květen&ndash;říjen (dle klimatických podmínek). Více info ZDE. Provoz haly listopad&ndash;březen, více info ZDE.Rezervační systém a ceník",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Na Lukách,457,č.p.,,54101,www.sportoviste-trutnov.cz,,,420 731 516 744,,,,tenis@mebys.cz,,,POINT(50.5644300 15.9275814),15.9275814,50.56443,OLS51,51,1773050.251,6544605.1059
Tenisový areál Vrchlabí,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,Sport a relaxace / Ostatní letní sporty,,"Tenisový areál nabízí ty nejlepší podmínky pro sportovní vyžití každého příznivce tohoto sportu. Navštivte sportovní centrum a využijte kvalitních služeb moderního areálu v centru Krkonoš.  
  
 Tenisový areál poskytuje pro příznivce tenisu 3 otevřené antukové kurty &ndash; ""Sibera system"" pro letní využití, 2 tenisové kurty s moderním povrchem Euro Clay pro celoroční využití, v zimě kryté nafukovací halou. 
 Součástí tenisového areálu je budova se sociálním zázemím a restaurací. V rámci areálu je možný pronájem tenisových kurtů pro jednotlivce a firmy, možnost organizovat tenisové soustředění, kempy, případně půjčování základní tenisové výstroje. 
  
 V areálu najdete také restauraci. Restaurace a bar je nekuřácká s velkou terasou, kde si můžete příjemně posedět na čerstvém krkonošském vzduchu s výhledem na tenisové kurty a přilehlý rybník. 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Valteřická,1639,č.p.,,54301,www.tenisvrchlabi.cz,,,420 728 889 451,,,,tkucera@c-box.cz,,,POINT(50.62013778 15.60076194),15.60076194,50.62013778,OLS52,52,1736668.8751,6554373.5762
Tenisový klub Sobotka,Sobotka / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"Ke kurtům se dostanete, pokud se na náměstí dáte směrem na Turnov a potom na další křižovatce směrem na Mladějov. (vše je značeno) Pak už se stačí držet jen hlavní silnice a přijedete až ke kurtům. (kurty leží až za značkou, značící konec Sobotky). 
 
",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Sobotka,573493,,,,,50743,www.tksobotka.er.cz,,,420 604 455 617,420607657868,420774630409,,,,,POINT(50.46890472 15.17951556),15.17951556,50.46890472,OLS53,53,1689775.9426,6527881.4005
Tenisový klub TJ Jičín,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,," 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,kpt.Jaroše ,49,č.p.,,50601,www.tenis-jicin.cz,,,420 737 233 649,,,,suchanek@sport-jicin.cz,ladislav.obornik@iol.cz,,POINT(50.43423139 15.34818056),15.34818056,50.43423139,OLS54,54,1708551.6445,6521819.465
Tenisový kurt - penzion Hartaclub,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,," 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Jana Opletala,154,č.p.,,54303,www.hartaclub.cz,,,420 777 928 794,,,,hartaclub@seznam.cz,,,POINT(50.59305556 15.61777778),15.61777778,50.59305556,OLS55,55,1738563.0698,6549623.2111
Tennis club,Dvůr Králové nad Labem / Podkrkonoší,Sport a relaxace / Ostatní letní sporty,,,"Používání tenisových kurtů a tenisové haly je dovoleno pouze v provozní době po zaplacení členských poplatků a příspěvků nebo hracího poplatku, který si návštěvník zakoupí u správce kurtůV areálu tenisového klubu se nachází apartmán pro 6 osob. 
 Ceník a rezervační systém 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Dvůr Králové nad Labem,5203,Dvůr Králové nad Labem,579203,17. listopadu,485,č.p.,,54401,www.tcdvurkralove.cz,,,420 603 532 598,,,,tennis.dk@seznam.cz,,,POINT(50.42608000 15.81890200),15.818902,50.42608,OLS56,56,1760952.1155,6520395.0028
Terénní koloběžky - Yellow Point,Špindlerův Mlýn / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"S veškerou nezbytnou výbavou a za doprovodu instruktora se vydáte lanovkou na Medvědín, odkud vás pak čeká nevídaný sjezd, jak po asfaltových, tak i lesních cestách zpět do centra Špindlerova Mlýna přes hřeben Medvědína. 
  
 Terénní koloběžky:  250 Kč cca 2 hodiny, instruktor, helma, koloběžka, lanovka  ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Špindlerův Mlýn,579742,Špindlerův Mlýn,278,č.p.,,54351,www.yellow-point.cz/sportovni-aktivity/spindleruv-mlyn/terenni-kolobezky_14,420 499 433 505,,420 731 160 152,,,,office@ypoint.cz,,,POINT(50.72506861 15.60907583),15.60907583,50.72506861,OLS57,57,1737594.3731,6572804.8786
TJ Slavia Hradec Králové,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"TJ Slavia je jednou z největších tělovýchovných jednot v okrese. Nabízí prostory pro sportovní zápasy, turnaje a jiné akce.  
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Víta Nejedlého,1216,č.p.,,50003,www.slaviahk.cz,420 495 514 273,,420 605 238 224,,,,sekretariat@slaviahk.cz,,,POINT(50.21045389 15.84306111),15.84306111,50.21045389,OLS58,58,1763641.4954,6482802.8356
Venkovní sportoviště - Sportovní areál Jičín,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,,Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Revoluční,863,č.p.,,50601,www.sport-jicin.cz,420 493 533 462,420493531860,,,,,posta@sport-jicin.cz,,,POINT(50.44066694 15.36333028),15.36333028,50.44066694,OLS59,59,1710238.1037,6522944.256
